match_id,competition,stage,group_id,round_in_group,team_a,team_b,venue,city,country,date,local_kickoff_time,utc_datetime,goals_a,goals_b,source_url,retrieval_date
WC26-B05,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,B,3,Switzerland,Canada,BC Place,Vancouver,Canada,2026-06-24,12:00,2026-06-24T19:00:00+00:00,2,1,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-B06,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,B,3,Bosnia & Herzegovina,Qatar,Lumen Field,Seattle,United States,2026-06-24,12:00,2026-06-24T19:00:00+00:00,3,1,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-C01,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,C,1,Brazil,Morocco,MetLife Stadium,New York/New Jersey (East Rutherford),United States,2026-06-13,18:00,2026-06-13T22:00:00+00:00,1,1,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-C02,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,C,1,Haiti,Scotland,Gillette Stadium,Boston (Foxborough),United States,2026-06-13,21:00,2026-06-14T01:00:00+00:00,0,1,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-C03,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,C,2,Scotland,Morocco,Gillette Stadium,Boston (Foxborough),United States,2026-06-19,18:00,2026-06-19T22:00:00+00:00,0,1,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-C04,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,C,2,Brazil,Haiti,Lincoln Financial Field,Philadelphia,United States,2026-06-19,20:30,2026-06-20T00:30:00+00:00,3,0,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-C05,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,C,3,Scotland,Brazil,Hard Rock Stadium,Miami (Miami Gardens),United States,2026-06-24,18:00,2026-06-24T22:00:00+00:00,0,3,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-C06,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,C,3,Morocco,Haiti,Mercedes-Benz Stadium,Atlanta,United States,2026-06-24,18:00,2026-06-24T22:00:00+00:00,4,2,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-D01,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,D,1,USA,Paraguay,SoFi Stadium,Los Angeles (Inglewood),United States,2026-06-12,18:00,2026-06-13T01:00:00+00:00,4,1,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-D02,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,D,1,Australia,Turkey,BC Place,Vancouver,Canada,2026-06-13,21:00,2026-06-14T04:00:00+00:00,2,0,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
